,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,date,近一日漲跌％,近一週漲跌％,近一月漲跌％
1551,3040,遠見,M9900 其他,M25F 物業管理,ML無分,2023/03/29,-0.16,0.47,0.47
1552,5604,中連,M9900 其他,M25F 物業管理,ML無分,2023/03/29,1.02,0.0,-7.13
1553,2603,長榮,M2600 航運業,M26A2 貨櫃輪,28.0,2023/03/29,-1.25,-1.86,1.6
1554,2605,新興,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,0.41,-1.61,-3.74
1555,2606,裕民,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,-1.28,-4.27,-6.27
1556,2609,陽明,M2600 航運業,M26A2 貨櫃輪,28.0,2023/03/29,-0.78,-2.76,-0.47
1557,2612,中航,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,-0.25,-3.57,-6.89
1558,2615,萬海,M2600 航運業,M26A2 貨櫃輪,28.0,2023/03/29,-0.72,-2.27,-12.47
1559,2617,台航,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,-0.81,-5.53,3.02
1560,2637,慧洋-KY,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,-0.94,-7.3,-5.79
1561,2641,正德,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,-0.48,-3.48,2.97
1562,5608,四維航,M2600 航運業,M26A1 散裝輪,ML無分,2023/03/29,-0.57,-2.95,-7.39
1563,2601,益航,M2900 貿易百貨,M26A1 散裝輪,ML無分,2023/03/29,-0.11,-2.81,-13.88
1564,2633,台灣高鐵,M2600 航運業,M26B2 鐵路運輸,ML無分,2023/03/29,0.33,1.52,2.39
1565,2640,大車隊,M9900 其他,M26B1 汽車陸運,ML無分,2023/03/29,0.43,4.48,8.88
1566,2607,榮運,M2600 航運業,M26C 貨運倉儲業,ML無分,2023/03/29,0.18,-1.25,-0.36
1567,2608,嘉里大榮,M2600 航運業,M26C 貨運倉儲業,30.0,2023/03/29,-0.13,0.0,0.53
1568,2611,志信,M2600 航運業,M26C 貨運倉儲業,ML無分,2023/03/29,0.0,-2.89,-7.88
1569,2613,中櫃,M2600 航運業,M26C 貨運倉儲業,ML無分,2023/03/29,-0.22,-2.41,-8.06
1570,2636,台驊投控,M2600 航運業,M26C 貨運倉儲業,28.0,2023/03/29,1.31,-0.89,13.28
1571,2642,宅配通,M2600 航運業,M26C 貨運倉儲業,30.0,2023/03/29,-0.21,-0.42,-1.35
1572,2643,捷迅,M2600 航運業,M26C 貨運倉儲業,54.0,2023/03/29,0.13,0.0,3.76
1573,5601,台聯櫃,M2600 航運業,M26C 貨運倉儲業,ML無分,2023/03/29,1.07,4.29,6.38
1574,5603,陸海,M2600 航運業,M26C 貨運倉儲業,28.0,2023/03/29,-1.17,-2.76,-9.05
1575,5607,遠雄港,M2600 航運業,M26C 貨運倉儲業,ML無分,2023/03/29,0.91,-0.9,19.0
1576,5609,中菲行,M2600 航運業,M26C 貨運倉儲業,54.0,2023/03/29,0.82,1.78,10.31
