,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,近一日漲跌％,近一週漲跌％,近一月漲跌％
171,1597,直得,M1500 電機機械,M15A2 模具零件,ML無分組,-1.16,-0.26,-1.16
172,2049,上銀,M1500 電機機械,M15A2 模具零件,7.0,-2.4,-3.37,-2.79
173,2067,嘉鋼,M1500 電機機械,M15A2 模具零件,ML無分組,0.91,0.0,3.74
174,4510,高鋒,M1500 電機機械,M15A1 工具機,ML無分組,0.0,3.13,5.0
175,4513,福裕,M1500 電機機械,M15A1 工具機,ML無分組,-1.32,-3.11,-0.53
176,4526,東台,M1500 電機機械,M15A1 工具機,ML無分組,-0.89,-1.76,0.3
177,4533,協易機,M1500 電機機械,M15A1 工具機,ML無分組,-1.3,0.0,-4.62
178,4534,慶騰,M1500 電機機械,M15A1 工具機,ML無分組,-0.8,0.1,8.18
179,4538,大詠城,M1500 電機機械,M15A2 模具零件,ML無分組,-1.17,1.44,4.44
180,4540,全球傳動,M1500 電機機械,M15A2 模具零件,ML無分組,0.0,-0.37,-1.21
181,4555,氣立,M1500 電機機械,M15A2 模具零件,ML無分組,0.0,-1.23,-3.61
182,4560,強信-KY,M1500 電機機械,M15A3 紡織工具機,ML無分組,-0.25,0.38,0.38
183,4561,健椿,M1500 電機機械,M15A2 模具零件,ML無分組,0.0,-0.89,-2.2
184,4562,穎漢,M1500 電機機械,M15A1 工具機,ML無分組,-0.31,1.57,2.54
185,4563,百德,M1500 電機機械,M15A1 工具機,ML無分組,-0.63,-1.51,-4.16
186,4576,大銀微系統,M1500 電機機械,M15A2 模具零件,ML無分組,-0.65,0.92,-2.9
187,6603,富強鑫,M1500 電機機械,M15A1 工具機,ML無分組,-1.4,0.0,-4.36
188,6606,建德工業,M1500 電機機械,M15A1 工具機,ML無分組,-1.54,,
189,6609,瀧澤科,M1500 電機機械,M15A1 工具機,ML無分組,-1.53,-1.02,-9.26
190,8083,瑞穎,M1500 電機機械,M15A2 模具零件,ML無分組,-1.6,-0.32,-4.36
191,8374,羅昇,M1500 電機機械,M15A2 模具零件,ML無分組,-0.95,1.79,4.17
192,4577,達航,M2331 其他電子業,M15A1 工具機,ML無分組,-0.48,1.81,-1.59
193,6584,南俊國際,M2328 電子零組件,M15A2 模具零件,ML無分組,,,
194,6855,數泓科,M2331 其他電子業,M15A1 工具機,ML無分組,-0.72,1.73,-4.74
195,8455,大拓-KY,M2331 其他電子業,M15A1 工具機,ML無分組,0.0,-3.51,1.62
196,1503,士電,M1500 電機機械,M15B1 電機,ML無分組,-3.12,-2.65,0.25
197,1504,東元,M1500 電機機械,M15B1 電機,ML無分組,-2.39,12.83,33.01
198,1513,中興電,M1500 電機機械,M15B1 電機,4.0,0.32,-3.76,-0.11
199,1514,亞力,M1500 電機機械,M15B1 電機,4.0,-1.92,-5.43,-0.26
200,1519,華城,M1500 電機機械,M15B1 電機,4.0,-0.29,-3.09,9.52
201,1529,樂事綠能,M1500 電機機械,M15B1 電機,ML無分組,-2.62,-6.39,15.08
202,1535,中宇,M1500 電機機械,M15B2 機電工程,ML無分組,0.1,-2.19,4.46
203,2371,大同,M1500 電機機械,M15B1 電機,20.0,3.16,5.54,2.39
204,4506,崇友,M1500 電機機械,M15B1 電機,ML無分組,-1.33,-1.2,0.27
205,4550,長佳,M1500 電機機械,M15B2 機電工程,ML無分組,-2.71,-0.81,12.13
206,4583,台灣精銳,M1500 電機機械,M15B1 電機,ML無分組,-1.68,-3.31,1.74
207,8418,捷必勝-KY,M9900 其他,M15B1 電機,ML無分組,-0.4,-0.3,-0.81
208,4527,方土霖,M1500 電機機械,M15C2 空調冷凍,ML無分組,-0.32,3.01,6.38
209,4532,瑞智,M1500 電機機械,M15C1 家電,ML無分組,-1.59,2.76,7.2
210,4552,力達-KY,M1500 電機機械,M15C1 家電,ML無分組,-1.77,1.67,1.0
211,1604,聲寶,M1600 電器電纜,M15C1 家電,ML無分組,-1.09,1.49,1.49
212,1611,中電,M1600 電器電纜,M15C4 照明,ML無分組,-1.9,-4.91,8.77
213,1614,三洋電,M1600 電器電纜,M15C1 家電,ML無分組,0.0,0.55,-0.95
214,1626,艾美特-KY,M1600 電器電纜,M15C1 家電,ML無分組,-1.85,0.27,3.34
215,4609,唐鋒,M1600 電器電纜,M15C1 家電,ML無分組,0.12,1.49,-1.33
216,4930,燦星網,M1600 電器電纜,M15C1 家電,ML無分組,0.34,0.0,-2.83
217,5283,禾聯碩,M1600 電器電纜,M15C1 家電,ML無分組,0.0,0.93,-5.68
218,2491,吉祥全,M2326 光電業,M15C4 照明,ML無分組,-0.86,-2.94,-4.15
219,3024,憶聲,M2326 光電業,M15C1 家電,ML無分組,1.36,1.7,7.94
220,3516,亞帝歐,M2326 光電業,M15C4 照明,ML無分組,0.0,-3.43,4.64
221,3609,三一東林,M2328 電子零組件,M15C4 照明,ML無分組,0.0,-1.01,-3.08
222,6728,上洋,M2900 貿易百貨,M15C1 家電,ML無分組,-1.27,2.97,3.31
223,1506,正道,M1500 電機機械,M15D 汽車組件,ML無分組,-0.72,-0.96,-6.33
224,2066,世德,M1500 電機機械,M15D 汽車組件,ML無分組,-2.38,1.65,2.26
225,2230,泰茂,M1500 電機機械,M15D 汽車組件,ML無分組,-1.73,-7.06,2.65
226,2235,謚源,M1500 電機機械,M15D 汽車組件,ML無分組,-0.76,-2.87,-2.98
227,2254,巨鎧,M1500 電機機械,M15D 汽車組件,ML無分組,,,
228,3226,至寶電,M1500 電機機械,M15D 汽車組件,ML無分組,0.0,-1.5,-4.55
229,3685,元創精密,M1500 電機機械,M15D 汽車組件,ML無分組,-3.27,2.48,-2.36
230,4502,健信,M1500 電機機械,M15D 汽車組件,ML無分組,-0.27,-0.14,-0.14
231,4523,永彰,M1500 電機機械,M15D 汽車組件,ML無分組,2.38,2.92,-12.33
232,4528,江興鍛,M1500 電機機械,M15D 汽車組件,ML無分組,-0.15,2.95,-3.78
233,4535,至興,M1500 電機機械,M15D 汽車組件,ML無分組,-0.52,-0.39,-0.78
234,4543,萬在,M1500 電機機械,M15D 汽車組件,ML無分組,-1.41,-4.43,15.43
235,4566,時碩工業,M1500 電機機械,M15D 汽車組件,ML無分組,-2.08,-2.63,-6.33
236,4571,鈞興-KY,M1500 電機機械,M15D 汽車組件,ML無分組,-1.13,7.79,8.68
237,5288,豐祥-KY,M1500 電機機械,M15D 汽車組件,ML無分組,1.67,4.89,3.69
238,8107,大億金茂,M1500 電機機械,M15D 汽車組件,ML無分組,-2.23,-0.85,-4.37
239,8255,朋程,M1500 電機機械,M15D 汽車組件,ML無分組,1.07,14.89,10.85
240,9951,皇田,M1500 電機機械,M15D 汽車組件,ML無分組,-2.92,-2.38,-0.71
