,,,,,,,,,,,,,
,代號,名稱,年月,營業收入淨額q,累計每股盈餘est,"eps
成長","eps
衰退","eps
近五月
成長","eps
連續
成長","eps
近五月
衰退","eps
連續
衰退",TEJ  產業別,TEJ 子產業別
229,8097,常珵,2023/07,298.1,6.82,0,1,2,0,3,2,M2327 通信網路業,M23D2 連接器
230,4171,瑞基,2023/07,85.3,6.81,0,1,1,0,4,2,M3300 農業科技,M17G 醫療耗材
231,1583,程泰,2023/07,1531.8,6.8,0,1,3,0,2,1,M1500 電機機械,M15A1 工具機
232,5469,瀚宇博,2023/07,11127.2,6.79,0,1,2,0,3,1,M2328 電子零組件,M23B2D 硬板及其他
233,6230,尼得科超眾,2023/07,3513.4,6.77,1,0,3,2,2,0,M2325 電腦及週邊,M23D9B 散熱零組件
234,2313,華通,2023/07,20845.7,6.75,0,1,2,0,3,1,M2328 電子零組件,M23B2D 硬板及其他
235,4566,時碩工業,2023/07,1211,6.75,0,1,3,0,2,1,M1500 電機機械,M15D 汽車組件
236,3551,世禾,2023/07,608.6,6.71,0,1,3,0,2,1,M2331 其他電子業,M23H2 電機設備
237,5903,全家,2023/07,23540.4,6.68,0,1,3,0,2,1,M2900 貿易百貨,M29A4 便利商店
238,5608,四維航,2023/07,1299.2,6.67,0,1,2,0,3,2,M2600 航運業,M26A1 散裝輪
239,3169,亞信,2023/07,307.5,6.66,1,0,2,1,3,0,M2324 半導體,M23G5 IC設計
240,3088,艾訊,2023/07,1815.4,6.65,1,0,2,1,3,0,M2325 電腦及週邊,M23B5B 工業電腦
241,3702,大聯大,2023/07,177362.3,6.62,1,0,2,1,3,0,M2329 電子通路業,M23T2 零組件代理
242,3003,健和興,2023/07,1105.2,6.61,0,1,3,0,2,1,M2328 電子零組件,M23D2 連接器
