,歆凱分組,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry_name,minor_industry_name
722,,2926.0,誠品生活,M3200,,29A,,M3200 文化創意業,M29A1 百貨購物中
723,,2928.0,紅馬-KY,M2700,,29A,,M2700 觀光事業,M29A9 其他零售
724,,2929.0,淘帝-KY,M2900,,29A,,M2900 貿易百貨,M29A1 百貨購物中
725,,2936.0,客思達-KY,M2900,,29B,,M2900 貿易百貨,M29B 貿易業
726,,2937.0,集雅社,M2900,,23T,,M2900 貿易百貨,M23T1 3C通路
727,,2939.0,凱羿-KY,M2900,,29B,,M2900 貿易百貨,M29B 貿易業
728,,3002.0,歐格,M2325,,23D,,M2325 電腦及週邊,M23D3 電源供應器
729,,3003.0,健和興,M2328,,23D,,M2328 電子零組件,M23D2 連接器
730,,3004.0,豐達科,M2000,,22B,,M2000 鋼鐵工業,M22B3 航空器製造
731,,3005.0,神基,M2325,,23D,,M2325 電腦及週邊,M23D4 機殼
732,,3006.0,晶豪科,M2324,,23G,,M2324 半導體,M23G5 IC設計
733,,3008.0,大立光,M2326,,23U,,M2326 光電業,M23U1 光學鏡頭
734,,3010.0,華立,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
735,,3011.0,今皓,M2328,,23D,,M2328 電子零組件,M23D2 連接器
736,,3013.0,晟銘電,M2325,,23D,,M2325 電腦及週邊,M23D4 機殼
737,,3014.0,聯陽,M2324,,23G,,M2324 半導體,M23G5 IC設計
738,,3015.0,全漢,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
739,,3016.0,嘉晶,M2324,,23G,,M2324 半導體,M23G3C 晶圓材料
740,,3017.0,奇鋐,M2325,,23D,,M2325 電腦及週邊,M23D9B 散熱零組件
741,,3018.0,同開,M2331,,23H,,M2331 其他電子業,M23H1 廠辦機電
742,,3019.0,亞光,M2326,,23U,,M2326 光電業,M23U1 光學鏡頭
743,,3021.0,鴻名,M2328,,23D,,M2328 電子零組件,M23D2 連接器
744,,3022.0,威強電,M2325,,23B,,M2325 電腦及週邊,M23B5B 工業電腦
745,,3023.0,信邦,M2328,,23D,,M2328 電子零組件,M23D2 連接器
746,,3024.0,憶聲,M2326,,15C,,M2326 光電業,M15C1 家電
747,,3025.0,星通,M2327,,23E,,M2327 通信網路業,M23E2 網路卡
748,,3026.0,禾伸堂,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
749,,3027.0,盛達,M2327,,23K,,M2327 通信網路業,M23KX 其他網通
750,,3028.0,增你強,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
751,,3029.0,零壹,M2330,,23X,,M2330 資訊服務業,M23X9 應用軟體
752,,3030.0,德律,M2331,,23H,,M2331 其他電子業,M23H2 電機設備
753,,3031.0,佰鴻,M2326,,23C,,M2326 光電業,M23C6C 封裝及應用
754,,3032.0,偉訓,M2328,,23D,,M2328 電子零組件,M23D4 機殼
755,,3033.0,威健,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
756,,3034.0,聯詠,M2324,,23G,,M2324 半導體,M23G5 IC設計
757,,3035.0,智原,M2324,,23G,,M2324 半導體,M23G5 IC設計
758,,3036.0,文曄,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
759,,3037.0,欣興,M2328,,23B,,M2328 電子零組件,M23B2D 硬板及其他
760,,3038.0,全台,M2326,,23C,,M2326 光電業,M23C8D LCD-其他
761,,3040.0,遠見,M9900,,25F,,M9900 其他,M25F 物業管理
762,,3041.0,揚智,M2324,,23G,,M2324 半導體,M23G5 IC設計
763,,3042.0,晶技,M2328,,23D,,M2328 電子零組件,M23D6 石英元件
764,,3043.0,科風,M2331,,23D,,M2331 其他電子業,M23D3 電源供應器
765,,3044.0,健鼎,M2328,,23B,,M2328 電子零組件,M23B2D 硬板及其他
766,,3045.0,台灣大,M2327,,23K,,M2327 通信網路業,M23K3 電信及IDC
767,,3046.0,建碁,M2325,,23B,,M2325 電腦及週邊,M23B1 主機板
768,,3047.0,訊舟,M2327,,23E,,M2327 通信網路業,M23E1 數據機
769,,3048.0,益登,M2329,,23T,,M2329 電子通路業,M23T2 零組件代理
770,,3049.0,和鑫,M2326,,23C,,M2326 光電業,M23C8E 觸控面板
771,,3050.0,鈺德,M2326,,23C,,M2326 光電業,M23C4A 光碟
772,,3051.0,力特,M2326,,23C,,M2326 光電業,M23C8C LCD 原料
773,,3052.0,夆典,M2500,,25A,,M2500 建材營造,M25A 建設
774,,3054.0,立萬利,M2324,,23C,,M2324 半導體,M23C3 PC週邊
775,,3055.0,蔚華科,M2329,,23H,,M2329 電子通路業,M23H3 設備通路
776,,3056.0,總太,M2500,,25A,,M2500 建材營造,M25A 建設
777,,3057.0,喬鼎,M2325,,23C,,M2325 電腦及週邊,M23C4B 硬碟磁碟
778,,3058.0,立德,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
779,,3059.0,華晶科,M2326,,23U,,M2326 光電業,M23UZ 消費性電子
780,,3060.0,銘異,M2325,,23C,,M2325 電腦及週邊,M23C4B 硬碟磁碟
781,,3062.0,建漢,M2327,,23E,,M2327 通信網路業,M23E2 網路卡
782,,3064.0,泰偉,M3200,,23B,,M3200 文化創意業,M23B5B 工業電腦
783,,3066.0,李洲,M2326,,23C,,M2326 光電業,M23C6C 封裝及應用
784,,3067.0,全域,M2331,,23U,,M2331 其他電子業,M23U2 聲學產品
785,,3071.0,協禧,M2325,,23D,,M2325 電腦及週邊,M23D9B 散熱零組件
786,,3073.0,天方能源,M2324,,23C,,M2324 半導體,M23C7E 太陽能系統
787,,3078.0,僑威,M2328,,23D,,M2328 電子零組件,M23D3 電源供應器
788,,3081.0,聯亞,M2327,,23G,,M2327 通信網路業,M23G3A 化合物SEMI
789,,3085.0,新零售,M3400,,23K,,M3400 電子商務,M23K4 電商及XaaS
790,,3086.0,華義,M3200,,23X,,M3200 文化創意業,M23X2 遊戲軟體
791,,3088.0,艾訊,M2325,,23B,,M2325 電腦及週邊,M23B5B 工業電腦
792,,3089.0,億杰,M2328,,23D,,M2328 電子零組件,M23D5 被動元件
793,,3090.0,日電貿,M2328,,23T,,M2328 電子零組件,M23T2 零組件代理
794,,3092.0,鴻碩,M2328,,23D,,M2328 電子零組件,M23D2 連接器
795,,3093.0,港建,M2331,,23H,,M2331 其他電子業,M23H3 設備通路
796,,3094.0,聯傑,M2324,,23G,,M2324 半導體,M23G5 IC設計
797,,3095.0,及成,M2327,,23D,,M2327 通信網路業,M23D4 機殼
798,,3105.0,穩懋,M2324,,23G,,M2324 半導體,M23G3A 化合物SEMI
799,,3114.0,好德,M2328,,23T,,M2328 電子零組件,M23T2 零組件代理
800,,3115.0,寶島極,M2328,,23B,,M2328 電子零組件,M23B3X PCB材-其他
801,,3118.0,進階,M1722,,17G,,M1722 生技醫療,M17G 醫療耗材
802,,3122.0,笙泉,M2324,,23G,,M2324 半導體,M23G5 IC設計
803,,3128.0,昇銳,M2326,,23C,,M2326 光電業,M23C9 安全監控
804,,3130.0,一零四,M2330,,23K,,M2330 資訊服務業,M23K4 電商及XaaS
805,,3131.0,弘塑,M2331,,23H,,M2331 其他電子業,M23H2 電機設備
806,,3138.0,耀登,M2327,,23K,,M2327 通信網路業,M23K2 衛星微波
807,,3141.0,晶宏,M2324,,23G,,M2324 半導體,M23G5 IC設計
808,,3144.0,新揚科,M2328,,23B,,M2328 電子零組件,M23B3C FCCL
809,,3147.0,大綜,M2330,,23X,,M2330 資訊服務業,M23X1 系統整合
810,,3149.0,正達,M2326,,23C,,M2326 光電業,M23C8E 觸控面板
811,,3152.0,璟德,M2327,,23D,,M2327 通信網路業,M23D5 被動元件
812,,3162.0,精確,M1500,,15E,,M1500 電機機械,M15E 自行車組件
813,,3163.0,波若威,M2327,,23K,,M2327 通信網路業,M23K6 光元件模組
814,,3164.0,景岳,M1722,,17C,,M1722 生技醫療,M17C2 機能性食品
